,128_128,128_256,128_512,128_1024,128_2048,128_4096,256_128,256_256,256_512,256_1024,256_2048,256_4096,512_128,512_256,512_512,512_1024,512_2048,512_4096,1024_128,1024_256,1024_512,1024_1024,1024_2048,1024_4096,2048_128,2048_256,2048_512,2048_1024,2048_2048,2048_4096,4096_128,4096_256,4096_512,4096_1024,4096_2048,4096_4096,8192_128,8192_256,8192_512,8192_1024,8192_2048,8192_4096,16384_128,16384_256,16384_512,16384_1024,16384_2048,16384_4096
mamba2.8b,1.1950724124908447,2.2845373153686523,4.53033971786499,8.819108247756958,17.636502504348755,34.93801498413086,0.9754288196563721,2.0596139430999756,4.232388496398926,8.577335596084595,17.265804052352905,35.20503807067871,1.054246187210083,2.139392852783203,4.312587738037109,8.6553635597229,17.343421697616577,35.3933687210083,1.2122185230255127,2.296541452407837,4.469169616699219,8.811439037322998,17.501710414886475,35.389933824539185,1.5203299522399902,2.605476140975952,4.777909517288208,9.121630907058716,17.810078382492065,35.59398365020752,2.146509885787964,3.2309556007385254,5.40447211265564,9.749220371246338,18.437809944152832,36.37802696228027,3.9618313312530518,4.78044581413269,6.892179012298584,11.272364616394043,20.047953605651855,37.398943185806274,6.486093521118164,7.1932594776153564,9.374320983886719,13.813834190368652,22.481184720993042,39.87165665626526
remamba2.8b,1.2622077465057373,2.326551914215088,4.507022857666016,8.851669311523438,17.55463218688965,35.13785433769226,1.0551562309265137,2.141007423400879,4.313154220581055,8.657208681106567,17.347504377365112,35.12740206718445,1.1919875144958496,2.2770204544067383,4.449455261230469,8.793938636779785,17.484326601028442,35.46411657333374,1.4684340953826904,2.5537803173065186,4.725562572479248,9.071272373199463,17.759563207626343,35.74139142036438,2.0188050270080566,3.1038005352020264,5.275235891342163,9.619585990905762,18.310309648513794,36.293697357177734,3.1281354427337646,4.210965394973755,6.38253927230835,10.726177453994751,19.416777849197388,37.29433274269104,5.6524786949157715,6.595881223678589,8.762512922286987,13.115254878997803,21.864952325820923,39.421815633773804,10.004682064056396,10.904613494873047,13.156949043273926,17.42962336540222,26.493043422698975,43.58576440811157
llama3b,3.508347511291504,5.27142858505249,10.518496036529541,21.0124831199646,42.71954679489136,99.49814629554749,2.7152645587921143,5.341333866119385,10.556313514709473,21.016632080078125,42.66947293281555,99.00633907318115,2.81831431388855,5.435672998428345,10.660093307495117,21.163746118545532,43.573315382003784,102.34232783317566,3.020280122756958,5.626321792602539,10.892811298370361,21.573384284973145,46.19558763504028,109.58271980285645,3.635821580886841,6.534801006317139,12.537541151046753,25.45031976699829,54.69365954399109,128.00801992416382,5.61963152885437,9.676359415054321,18.014779329299927,35.5658962726593,74.16873550415039,166.4753234386444,10.15221643447876,16.3164701461792,29.324772357940674,56.67752552032471,113.99214315414429,243.66223287582397,19.50215768814087,30.37255859375,52.93524765968323,98.90614628791809,194.72024083137512,400.7450203895569
