,1024_512,1024_1024,2048_512,2048_1024,4096_512,4096_1024,6144_512,6144_1024,8192_512,8192_1024
mamba1,107.39529094443513,112.78904634861524,100.96714083422485,108.37410966963056,88.81207284324493,102.45122922970377,80.67025179640589,96.53034476406658,74.26596048163165,90.77957220450791
remamba1,102.67480778508074,109.93051765049641,92.41064427255336,103.62363878034796,77.01272995154204,93.18010782419906,65.85345230651211,84.88051491382754,58.615840809355134,78.03671460059152
mamba2,93.80633437610952,114.60182130496901,103.17224014798495,111.08634938301473,89.01042032926438,104.18945965309473,83.4046235525498,98.36492648740295,75.08265353732895,93.04660353155603
remamba2,104.47902677641484,111.26815329132538,94.41447818688002,105.74534195608017,79.48314531802217,95.53392719187194,67.95098695169742,86.96243736733318,59.65411317895092,79.64384145180684
llama3b,43.04256484088571,48.2209066515628,40.520226077223555,39.96058893889919,28.031301575621764,28.721687629935698,21.23685227836669,22.313297341165168,17.491896347942802,18.171646081130508
